actor1,vote_averages,no. of entries,sum of scores,Rank (Vote average),Rank (Sum),Average Rank,Final Ranking
Judy Parfitt,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Gwendolyn Anslow,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Lin-Manuel Miranda,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Shirley Jones,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Georgina Cates,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Omar Regan,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Bretten Lord,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Giovanna Claudia Mongino,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Lyudmila Yefymenko,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Lasse Kolsrud,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Garrison Keillor,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Bill Delarm,10.0,1,10.0,22.0,4428.5,2225.25,467.0
James Cartwright,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Mang Fely,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Kenny Chesney,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Don Ed Hardy,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Diane Bellego,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Betty Compson,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Maren Ade,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Alok Kumar,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Simon Chandler,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Maila Nurmi,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Marvin Hamlisch,10.0,1,10.0,22.0,4428.5,2225.25,467.0
Jakob Eklund,6.529411764705883,17,111.00000000000001,4221.0,233.0,2227.0,489.0
Ingvar Eggert Sigurðsson,6.85,4,27.4,2959.5,1509.0,2234.25,490.0
Jessica Chastain,6.6375,8,53.1,3790.0,684.0,2237.0,491.0
James McAvoy,6.557142857142857,14,91.8,4154.0,325.0,2239.5,492.0
Jane Wyman,6.625,8,53.0,3805.0,685.0,2245.0,493.0
Isaach De Bankolé,6.825,4,27.3,2982.5,1514.5,2248.5,494.5
Nobuko Otowa,6.825,4,27.3,2982.5,1514.5,2248.5,494.5
Daniel Brühl,6.6,10,66.0,3974.0,524.0,2249.0,496.0
Vikram,6.780000000000001,5,33.900000000000006,3313.0,1189.0,2251.0,497.0
Stéphane Audran,6.824999999999999,4,27.299999999999997,2984.5,1518.5,2251.5,498.5
George Lazenby,6.824999999999999,4,27.299999999999997,2984.5,1518.5,2251.5,498.5
Sandy Dennis,6.779999999999999,5,33.9,3314.5,1191.0,2252.75,500.5
James Franciscus,6.779999999999999,5,33.9,3314.5,1191.0,2252.75,500.5
Hardy Krüger,6.800000000000001,4,27.200000000000003,2992.0,1521.0,2256.5,503.0
Robin Askwith,6.800000000000001,4,27.200000000000003,2992.0,1521.0,2256.5,503.0
Mark Ruffalo,6.685714285714284,7,46.79999999999999,3728.0,785.0,2256.5,503.0
Muhammad Ali,6.760000000000001,5,33.800000000000004,3330.0,1193.0,2261.5,505.0
Martina Gedeck,6.7,6,40.2,3559.0,967.5,2263.25,506.0
Yves Montand,6.519999999999999,15,97.79999999999998,4244.5,289.0,2266.75,507.0
Hamdy Ahmed,9.8,1,9.8,44.0,4494.0,2269.0,508.0
Florence Delay,7.25,2,14.5,1622.5,2939.0,2280.75,516.0
Mirai Shida,7.25,2,14.5,1622.5,2939.0,2280.75,516.0
Jan Machulski,7.25,2,14.5,1622.5,2939.0,2280.75,516.0
Noriko Hidaka,7.25,2,14.5,1622.5,2939.0,2280.75,516.0
Kazato Tomizawa,7.25,2,14.5,1622.5,2939.0,2280.75,516.0
Bruno S.,7.25,2,14.5,1622.5,2939.0,2280.75,516.0
Curt Goetz,7.25,2,14.5,1622.5,2939.0,2280.75,516.0
Mabel Normand,7.25,2,14.5,1622.5,2939.0,2280.75,516.0
Philippe Nahon,7.25,2,14.5,1622.5,2939.0,2280.75,516.0
Choi Seung-Hyun,7.25,2,14.5,1622.5,2939.0,2280.75,516.0
Bodil Jørgensen,7.25,2,14.5,1622.5,2939.0,2280.75,516.0
Harry Andrews,7.25,2,14.5,1622.5,2939.0,2280.75,516.0
Adriana Asti,7.25,2,14.5,1622.5,2939.0,2280.75,516.0
Jiří Menzel,7.25,2,14.5,1622.5,2939.0,2280.75,516.0
Toshihiko Seki,7.25,2,14.5,1622.5,2939.0,2280.75,516.0
Walter Matthau,6.5,24,156.0,4461.5,112.0,2286.75,524.0
Megumi Hayashibara,6.74,5,33.7,3378.0,1199.0,2288.5,525.0
Sylvia Sidney,6.6428571428571415,7,46.49999999999999,3787.0,792.0,2289.5,526.0
Tim Robbins,6.53076923076923,13,84.89999999999999,4218.0,365.5,2291.75,527.0
John C. Reilly,6.628571428571429,7,46.400000000000006,3802.0,793.0,2297.5,528.0
F. Murray Abraham,6.720000000000001,5,33.6,3398.0,1203.0,2300.5,530.0
Martin Scorsese,6.720000000000001,5,33.6,3398.0,1203.0,2300.5,530.0
Bunta Sugawara,6.720000000000001,5,33.6,3398.0,1203.0,2300.5,530.0
Charo Santos-Concio,9.5,1,9.5,47.5,4555.0,2301.25,534.0
Abbey Hoes,9.5,1,9.5,47.5,4555.0,2301.25,534.0
Sandy Alexander,9.5,1,9.5,47.5,4555.0,2301.25,534.0
Pernille Kaae Høier,9.5,1,9.5,47.5,4555.0,2301.25,534.0
Jack O'Callahan,9.5,1,9.5,47.5,4555.0,2301.25,534.0
Jo In-sung,6.966666666666666,3,20.9,2589.5,2026.5,2308.0,540.0
Junko Takeuchi,6.966666666666666,3,20.9,2589.5,2026.5,2308.0,540.0
Nick Cave,6.966666666666666,3,20.9,2589.5,2026.5,2308.0,540.0
Paul Simon,6.966666666666666,3,20.9,2589.5,2026.5,2308.0,540.0
Tony Goldwyn,6.966666666666666,3,20.9,2589.5,2026.5,2308.0,540.0
Mylène Jampanoï,6.966666666666666,3,20.9,2589.5,2026.5,2308.0,540.0
Emily VanCamp,6.966666666666666,3,20.9,2589.5,2026.5,2308.0,540.0
Javier Bardem,6.554545454545454,11,72.1,4156.0,461.5,2308.75,544.0
Vincent Cassel,6.507692307692308,13,84.6,4256.0,368.5,2312.25,545.0
Colin Cantlie,9.3,1,9.3,51.5,4590.0,2320.75,546.5
Paul Argaud,9.3,1,9.3,51.5,4590.0,2320.75,546.5
Philip Seymour Hoffman,6.58,10,65.8,4127.0,526.5,2326.75,548.0
Karolina Gruszka,9.2,1,9.2,54.5,4606.0,2330.25,549.0
Paul Giamatti,6.570000000000002,10,65.70000000000002,4139.0,528.0,2333.5,550.0
Lothaire Bluteau,6.933333333333334,3,20.8,2636.5,2035.0,2335.75,553.5
Leila Hatami,6.933333333333334,3,20.8,2636.5,2035.0,2335.75,553.5
Natalie Dormer,6.933333333333334,3,20.8,2636.5,2035.0,2335.75,553.5
Uhm Tae-woong,6.933333333333334,3,20.8,2636.5,2035.0,2335.75,553.5
Eddie Bracken,6.933333333333334,3,20.8,2636.5,2035.0,2335.75,553.5
Maurizio Nichetti,6.933333333333334,3,20.8,2636.5,2035.0,2335.75,553.5
Charlie Chaplin,6.4976744186046504,43,279.4,4665.0,11.0,2338.0,557.0
Bernadette Lafont,6.8,4,27.2,3151.5,1526.0,2338.75,560.0
Mayumi Tanaka,6.8,4,27.2,3151.5,1526.0,2338.75,560.0
Leon Lai,6.8,4,27.2,3151.5,1526.0,2338.75,560.0
Kim Rossi Stuart,6.8,4,27.2,3151.5,1526.0,2338.75,560.0
Jerry Seinfeld,6.8,4,27.2,3151.5,1526.0,2338.75,560.0
Kazuo Hasegawa,6.933333333333333,3,20.799999999999997,2640.5,2041.0,2340.75,563.5
Franco Citti,6.933333333333333,3,20.799999999999997,2640.5,2041.0,2340.75,563.5
Kaho,7.2,2,14.4,1732.5,2956.5,2344.5,570.5
Diedrich Bader,7.2,2,14.4,1732.5,2956.5,2344.5,570.5
Tom Cullen,7.2,2,14.4,1732.5,2956.5,2344.5,570.5
Agata Buzek,7.2,2,14.4,1732.5,2956.5,2344.5,570.5
Vinay Pathak,7.2,2,14.4,1732.5,2956.5,2344.5,570.5
Matthew Macfadyen,7.2,2,14.4,1732.5,2956.5,2344.5,570.5
Chaim Topol,7.2,2,14.4,1732.5,2956.5,2344.5,570.5
Marie Rivière,7.2,2,14.4,1732.5,2956.5,2344.5,570.5
Robbie Robertson,7.2,2,14.4,1732.5,2956.5,2344.5,570.5
Huang Bo,7.2,2,14.4,1732.5,2956.5,2344.5,570.5
Carrie Fisher,7.2,2,14.4,1732.5,2956.5,2344.5,570.5
Hedy Burress,7.2,2,14.4,1732.5,2956.5,2344.5,570.5
John Krasinski,6.900000000000001,3,20.700000000000003,2647.0,2044.5,2345.75,577.0
Rod Taylor,6.683333333333334,6,40.1,3729.0,971.0,2350.0,578.0
Alberto Sordi,6.490909090909091,33,214.20000000000002,4668.5,44.0,2356.25,579.0
Ranbir Kapoor,6.650000000000001,6,39.900000000000006,3744.0,975.5,2359.75,580.0
Heini Göbel,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Alice Szellay,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Yasuaki Kurata,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Stretch Armstrong,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Todor Kolev,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Inga-Kai Puskar-Polonski,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Adam Paroussos,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Mason Adams,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Adile Naşit,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Marita Breuer,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Jacob Matschenz,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Skin Diamond,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Maria Celeste Arraras,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Angel Aquino,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Gregory Cason,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Kyle Kinane,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Carlo Boszhard,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Rajesh Tailang,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Roger Coggio,9.0,1,9.0,71.0,4649.5,2360.25,595.5
David Ogden Stiers,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Ilya Van Malderghem,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Angélica Aragón,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Eion Bailey,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Zak Bagans,9.0,1,9.0,71.0,4649.5,2360.25,595.5
