direk,vote_averages,no. of entries,sum of scores,Rank (Vote average),Rank (Sum),Average Rank,Final Ranking
Wolfgang Reitherman,7.283333333333332,6,43.699999999999996,1746.0,1097.5,1421.75,97.0
Damien Chazelle,7.575000000000001,4,30.300000000000004,1069.0,1781.0,1425.0,98.0
Shūji Terayama,7.575,4,30.3,1070.0,1783.5,1426.75,99.0
Jason Woliner,7.38,5,36.9,1478.0,1380.0,1429.0,100.0
Fatih Akin,7.055555555555555,9,63.5,2241.0,622.0,1431.5,101.0
Alfonso Cuarón,7.185714285714285,7,50.3,1965.5,901.5,1433.5,103.5
Nick Park,7.185714285714285,7,50.3,1965.5,901.5,1433.5,103.5
Çağan Irmak,7.185714285714285,7,50.3,1965.5,901.5,1433.5,103.5
Hiroshi Teshigahara,7.185714285714285,7,50.3,1965.5,901.5,1433.5,103.5
Stanisław Bareja,7.359999999999999,5,36.8,1487.0,1383.5,1435.25,106.0
Christopher Wilcha,8.0,3,24.0,526.0,2362.0,1444.0,107.5
Patrick Bokanowski,8.0,3,24.0,526.0,2362.0,1444.0,107.5
John Carney,7.525,4,30.1,1092.0,1797.5,1444.75,109.5
Pete Docter,7.525,4,30.1,1092.0,1797.5,1444.75,109.5
Stephen Daldry,7.216666666666668,6,43.300000000000004,1802.5,1109.5,1456.0,111.5
Hideo Gosha,7.216666666666668,6,43.300000000000004,1802.5,1109.5,1456.0,111.5
Paul Wheeler,7.216666666666666,6,43.3,1804.5,1112.0,1458.25,113.5
Srđan Dragojević,7.216666666666666,6,43.3,1804.5,1112.0,1458.25,113.5
Roman Polanski,6.961904761904761,21,146.2,2827.0,100.0,1463.5,115.0
Ron Clements,7.142857142857143,7,50.0,2021.0,909.5,1465.25,116.0
Hou Hsiao-hsien,6.973684210526316,19,132.5,2806.0,131.0,1468.5,117.0
Hal Roach,7.114285714285714,7,49.8,2044.0,916.5,1480.25,118.0
Mike Leigh,6.961111111111111,18,125.3,2828.0,150.0,1489.0,119.5
Federico Fellini,6.904347826086957,23,158.8,2896.0,82.0,1489.0,119.5
Alex Gibney,6.936842105263159,19,131.8,2866.0,134.0,1500.0,121.0
Jean-Pierre Jeunet,7.05,8,56.4,2262.0,760.0,1511.0,122.0
Alejandro González Iñárritu,7.049999999999999,8,56.39999999999999,2273.0,761.0,1517.0,123.5
Ettore Scola,6.927777777777778,18,124.7,2883.0,151.0,1517.0,123.5
Sergio Citti,7.3,5,36.5,1634.5,1401.0,1517.75,125.0
David Lean,6.9624999999999995,16,111.39999999999999,2826.0,210.0,1518.0,126.0
Peter Duffell,7.933333333333334,3,23.8,658.5,2380.5,1519.5,127.5
Takahiro Miki,7.933333333333334,3,23.8,658.5,2380.5,1519.5,127.5
Zhang Yimou,6.916666666666666,18,124.49999999999999,2892.0,152.0,1522.0,129.0
Michelangelo Antonioni,6.973333333333334,15,104.60000000000001,2807.0,241.0,1524.0,130.0
Nick Morris,7.900000000000001,3,23.700000000000003,660.0,2392.0,1526.0,131.0
Kim Jee-woon,7.012500000000001,8,56.10000000000001,2304.0,763.0,1533.5,132.0
Roy Boulting,7.012499999999999,8,56.099999999999994,2305.0,765.0,1535.0,133.0
Peter Tscherkassky,7.199999999999999,6,43.199999999999996,1959.5,1114.5,1537.0,134.0
Bernardo Bertolucci,6.978571428571429,14,97.7,2799.0,278.0,1538.5,135.0
