actor2,vote_averages,no. of entries,sum of scores,Rank (Vote average),Rank (Sum),Average Rank,Final Ranking
Eva Bartok,7.166666666666667,3,21.5,2894.0,2239.5,2566.75,304.0
Tom Cruise,7.166666666666667,3,21.5,2894.0,2239.5,2566.75,304.0
Cameron Mathison,7.166666666666667,3,21.5,2894.0,2239.5,2566.75,304.0
Jon Hamm,7.166666666666667,3,21.5,2894.0,2239.5,2566.75,304.0
Yuriy Yakovlev,7.166666666666667,3,21.5,2894.0,2239.5,2566.75,304.0
Chang Chen,6.92,5,34.6,4055.0,1108.0,2581.5,309.0
Revathi,7.133333333333334,3,21.400000000000002,2934.5,2249.5,2592.0,310.0
Scott Wilson,7.133333333333333,3,21.4,2938.0,2255.0,2596.5,313.0
Fele Martínez,7.133333333333333,3,21.4,2938.0,2255.0,2596.5,313.0
Paul Meurisse,7.133333333333333,3,21.4,2938.0,2255.0,2596.5,313.0
Josef Hader,7.133333333333333,3,21.4,2938.0,2255.0,2596.5,313.0
Quentin Tarantino,7.133333333333333,3,21.4,2938.0,2255.0,2596.5,313.0
Brad Pitt,6.761538461538462,13,87.9,5084.0,113.5,2598.75,316.0
Philip Seymour Hoffman,6.753846153846154,13,87.8,5088.0,115.0,2601.5,317.0
Jeff Anderson,7.0,4,28.0,3663.0,1544.5,2603.75,319.5
Simon Pegg,7.0,4,28.0,3663.0,1544.5,2603.75,319.5
Jean-Luc Vincent,7.0,4,28.0,3663.0,1544.5,2603.75,319.5
Eiji Okada,7.0,4,28.0,3663.0,1544.5,2603.75,319.5
Shirley MacLaine,6.711111111111111,18,120.8,5182.0,27.0,2604.5,322.0
Jim Norton,7.1000000000000005,3,21.3,2953.0,2266.5,2609.75,327.0
Kenichi Suzumura,7.1000000000000005,3,21.3,2953.0,2266.5,2609.75,327.0
Tina Fey,7.1000000000000005,3,21.3,2953.0,2266.5,2609.75,327.0
Sydney Pollack,7.1000000000000005,3,21.3,2953.0,2266.5,2609.75,327.0
Stephen Fry,7.1000000000000005,3,21.3,2953.0,2266.5,2609.75,327.0
Jeffrey Ross,7.1000000000000005,3,21.3,2953.0,2266.5,2609.75,327.0
Chen Shiang-Chyi,7.1000000000000005,3,21.3,2953.0,2266.5,2609.75,327.0
Birger Malmsten,7.1000000000000005,3,21.3,2953.0,2266.5,2609.75,327.0
Ricky Schroder,7.1000000000000005,3,21.3,2953.0,2266.5,2609.75,327.0
Dustin Hoffman,6.7250000000000005,16,107.60000000000001,5170.5,51.0,2610.75,332.0
Michael Fassbender,6.883333333333334,6,41.300000000000004,4447.0,817.0,2632.0,333.0
Erland Josephson,6.75,12,81.0,5114.5,154.5,2634.5,334.0
Ingrid Bergman,6.7727272727272725,11,74.5,5071.0,205.0,2638.0,335.0
Tom Waits,7.45,2,14.9,1844.5,3447.0,2645.75,339.5
James Sikking,7.45,2,14.9,1844.5,3447.0,2645.75,339.5
Matt Groening,7.45,2,14.9,1844.5,3447.0,2645.75,339.5
Johnny Ramone,7.45,2,14.9,1844.5,3447.0,2645.75,339.5
May McAvoy,7.45,2,14.9,1844.5,3447.0,2645.75,339.5
Frankie Thomas,7.45,2,14.9,1844.5,3447.0,2645.75,339.5
Doze Niu Cheng-Tse,7.45,2,14.9,1844.5,3447.0,2645.75,339.5
Jerry Mofokeng,7.45,2,14.9,1844.5,3447.0,2645.75,339.5
Kate Winslet,6.741666666666668,12,80.90000000000002,5141.0,156.0,2648.5,344.0
Jean Simmons,6.741666666666667,12,80.9,5142.0,157.5,2649.75,345.0
Semyon Svashenko,7.449999999999999,2,14.899999999999999,1851.0,3455.5,2653.25,347.5
Jan Josef Liefers,7.449999999999999,2,14.899999999999999,1851.0,3455.5,2653.25,347.5
James Burton,7.449999999999999,2,14.899999999999999,1851.0,3455.5,2653.25,347.5
Bob Weir,7.449999999999999,2,14.899999999999999,1851.0,3455.5,2653.25,347.5
Paul McCartney,6.849999999999999,6,41.099999999999994,4512.5,828.5,2670.5,350.5
Veronica Lake,6.849999999999999,6,41.099999999999994,4512.5,828.5,2670.5,350.5
Tōru Furuya,6.833333333333335,6,41.00000000000001,4517.0,830.0,2673.5,352.0
Kô Nishimura,6.9,5,34.5,4243.0,1112.0,2677.5,354.0
Matt Stone,6.9,5,34.5,4243.0,1112.0,2677.5,354.0
Ulrich Tukur,6.9,5,34.5,4243.0,1112.0,2677.5,354.0
Denzel Washington,6.816666666666667,6,40.900000000000006,4538.0,833.0,2685.5,356.0
Rex Harrison,6.788888888888889,9,61.1,5053.5,357.0,2705.25,357.5
David Dencik,6.788888888888889,9,61.1,5053.5,357.0,2705.25,357.5
Mayumi Tanaka,6.8,7,47.6,4804.0,617.0,2710.5,359.0
Jack Lemmon,6.7299999999999995,10,67.3,5164.0,273.0,2718.5,360.0
Rachel McAdams,6.729999999999999,10,67.29999999999998,5165.0,274.0,2719.5,361.0
Jean Arthur,6.720000000000001,10,67.2,5178.0,275.0,2726.5,362.0
Sidney Poitier,6.709999999999999,10,67.1,5183.0,276.5,2729.75,363.0
Dita Parlo,7.4,2,14.8,1989.0,3472.5,2730.75,373.5
Aleksey Rozin,7.4,2,14.8,1989.0,3472.5,2730.75,373.5
Sara Forestier,7.4,2,14.8,1989.0,3472.5,2730.75,373.5
Johan Heldenbergh,7.4,2,14.8,1989.0,3472.5,2730.75,373.5
Jimi Hendrix,7.4,2,14.8,1989.0,3472.5,2730.75,373.5
Linda Bassett,7.4,2,14.8,1989.0,3472.5,2730.75,373.5
Eiko Koike,7.4,2,14.8,1989.0,3472.5,2730.75,373.5
John Gallagher Jr.,7.4,2,14.8,1989.0,3472.5,2730.75,373.5
Edward Albert,7.4,2,14.8,1989.0,3472.5,2730.75,373.5
Yoshiko Sakuma,7.4,2,14.8,1989.0,3472.5,2730.75,373.5
Rosario Flores,7.4,2,14.8,1989.0,3472.5,2730.75,373.5
Larry David,7.4,2,14.8,1989.0,3472.5,2730.75,373.5
William Ackman,7.4,2,14.8,1989.0,3472.5,2730.75,373.5
Jeremy Hoop,7.4,2,14.8,1989.0,3472.5,2730.75,373.5
Leonid Kuravlyov,7.4,2,14.8,1989.0,3472.5,2730.75,373.5
Sophie Nélisse,7.4,2,14.8,1989.0,3472.5,2730.75,373.5
Gwei Lun-mei,7.4,2,14.8,1989.0,3472.5,2730.75,373.5
Kim Myung-gon,7.4,2,14.8,1989.0,3472.5,2730.75,373.5
Horst Buchholz,7.4,2,14.8,1989.0,3472.5,2730.75,373.5
Christiane Paul,7.4,2,14.8,1989.0,3472.5,2730.75,373.5
Romy Schneider,6.7444444444444445,9,60.7,5140.0,364.0,2752.0,384.0
James McAvoy,6.733333333333334,9,60.60000000000001,5148.5,365.0,2756.75,385.0
Andrew Garfield,7.099999999999999,3,21.299999999999997,3257.0,2274.5,2765.75,386.0
Jiang Wen,7.066666666666666,3,21.2,3263.5,2281.0,2772.25,389.0
Hannibal Buress,7.066666666666666,3,21.2,3263.5,2281.0,2772.25,389.0
Suzy Kendall,7.066666666666666,3,21.2,3263.5,2281.0,2772.25,389.0
Ikkyuu Juku,7.066666666666666,3,21.2,3263.5,2281.0,2772.25,389.0
Tsutomu Yamazaki,7.066666666666666,3,21.2,3263.5,2281.0,2772.25,389.0
Peter Finch,6.7749999999999995,8,54.199999999999996,5070.0,476.0,2773.0,392.0
Ismo Kallio,6.700000000000001,9,60.30000000000001,5184.0,371.0,2777.5,393.0
Aïssa Maïga,6.9750000000000005,4,27.900000000000002,4013.0,1550.0,2781.5,394.5
William Powell,6.9750000000000005,4,27.900000000000002,4013.0,1550.0,2781.5,394.5
Joe Roberts,6.88,5,34.4,4448.0,1118.5,2783.25,396.0
Bibi Andersson,6.95,4,27.8,4030.0,1560.0,2795.0,398.5
Jean-Paul Belmondo,6.95,4,27.8,4030.0,1560.0,2795.0,398.5
Valerie Hobson,6.95,4,27.8,4030.0,1560.0,2795.0,398.5
Richard Roxburgh,6.95,4,27.8,4030.0,1560.0,2795.0,398.5
Simon Schwarz,6.859999999999999,5,34.3,4474.0,1120.0,2797.0,401.0
Joe Don Baker,7.033333333333334,3,21.1,3304.5,2290.0,2797.25,406.0
Freida Pinto,7.033333333333334,3,21.1,3304.5,2290.0,2797.25,406.0
Giancarlo Esposito,7.033333333333334,3,21.1,3304.5,2290.0,2797.25,406.0
Eric Idle,7.033333333333334,3,21.1,3304.5,2290.0,2797.25,406.0
Fares Fares,7.033333333333334,3,21.1,3304.5,2290.0,2797.25,406.0
Michel Bouquet,7.033333333333334,3,21.1,3304.5,2290.0,2797.25,406.0
Damian Lewis,7.033333333333334,3,21.1,3304.5,2290.0,2797.25,406.0
Jürgen Vogel,7.033333333333334,3,21.1,3304.5,2290.0,2797.25,406.0
Meena,7.033333333333334,3,21.1,3304.5,2290.0,2797.25,406.0
Özgü Namal,7.3999999999999995,2,14.799999999999999,2116.5,3486.5,2801.5,411.0
Alicia Vikander,6.949999999999999,4,27.799999999999997,4039.5,1565.5,2802.5,412.0
Sabine Timoteo,7.033333333333332,3,21.099999999999998,3310.5,2296.5,2803.5,413.5
Wang Baoqiang,7.033333333333332,3,21.099999999999998,3310.5,2296.5,2803.5,413.5
Hywel Bennett,7.3500000000000005,2,14.700000000000001,2125.0,3488.5,2806.75,415.0
Sebastian Koch,6.925,4,27.7,4052.5,1571.0,2811.75,416.5
Choi Min-sik,6.925,4,27.7,4052.5,1571.0,2811.75,416.5
Louis de Funès,6.7375,8,53.9,5147.0,479.0,2813.0,418.0
Rudolf Hrušínský,7.35,2,14.7,2130.5,3499.5,2815.0,423.5
Tomorowo Taguchi,7.35,2,14.7,2130.5,3499.5,2815.0,423.5
Ko Ah-sung,7.35,2,14.7,2130.5,3499.5,2815.0,423.5
Emi Takei,7.35,2,14.7,2130.5,3499.5,2815.0,423.5
Ralph Meeker,7.35,2,14.7,2130.5,3499.5,2815.0,423.5
Koji Tsuruta,7.35,2,14.7,2130.5,3499.5,2815.0,423.5
Kappei Yamaguchi,7.35,2,14.7,2130.5,3499.5,2815.0,423.5
Shuntaro Hida,7.35,2,14.7,2130.5,3499.5,2815.0,423.5
Hughie Restorick,7.35,2,14.7,2130.5,3499.5,2815.0,423.5
Lee Kyoung-young,7.35,2,14.7,2130.5,3499.5,2815.0,423.5
Heath Ledger,6.840000000000001,5,34.2,4515.0,1122.0,2818.5,429.0
Mads Mikkelsen,6.8,6,40.8,4804.0,836.5,2820.25,430.5
Harriet Andersson,6.839999999999999,5,34.199999999999996,4516.0,1124.5,2820.25,430.5
Yul Brynner,6.7250000000000005,8,53.800000000000004,5170.5,482.5,2826.5,432.5
Tony Leung Ka-Fai,6.7250000000000005,8,53.800000000000004,5170.5,482.5,2826.5,432.5
Billy West,7.300000000000001,2,14.600000000000001,2146.5,3513.5,2830.0,436.5
Csaba Pindroch,7.300000000000001,2,14.600000000000001,2146.5,3513.5,2830.0,436.5
Olaf Lubaszenko,7.300000000000001,2,14.600000000000001,2146.5,3513.5,2830.0,436.5
Kazuya Nakai,7.300000000000001,2,14.600000000000001,2146.5,3513.5,2830.0,436.5
Ma Dong-seok,7.300000000000001,2,14.600000000000001,2146.5,3513.5,2830.0,436.5
Claude Jade,7.300000000000001,2,14.600000000000001,2146.5,3513.5,2830.0,436.5
Tom Hardy,6.82,5,34.1,4535.5,1128.5,2832.0,440.5
Bill Travers,6.82,5,34.1,4535.5,1128.5,2832.0,440.5
Edward Norton,6.799999999999999,7,47.599999999999994,5052.0,619.5,2835.75,442.0
Grey Griffin,6.757142857142858,7,47.300000000000004,5087.0,626.5,2856.75,443.0
Elisabeth Röhm,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Stephen Malkmus,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Hadi Alipour,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Jaime Camil,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Nick Swardson,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Rod Serling,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Stephen Lynch,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Viktor Kremlev,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Nataša Tič Ralijan,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Bruce Leung Siu-Lung,10.0,1,10.0,33.0,5709.0,2871.0,475.5
