actor2,vote_averages,no. of entries,sum of scores,Rank (Vote average),Rank (Sum),Average Rank,Final Ranking
Aurore Clément,5.933333333333334,3,17.8,11042.5,2909.0,6975.75,6686.5
Vittoria Puccini,5.933333333333334,3,17.8,11042.5,2909.0,6975.75,6686.5
Alex Russell,5.933333333333333,3,17.799999999999997,11052.5,2917.5,6985.0,6694.5
George Lopez,5.933333333333333,3,17.799999999999997,11052.5,2917.5,6985.0,6694.5
Anya Taylor-Joy,5.933333333333333,3,17.799999999999997,11052.5,2917.5,6985.0,6694.5
Charlotte Riley,5.933333333333333,3,17.799999999999997,11052.5,2917.5,6985.0,6694.5
Harold Perrineau,5.933333333333333,3,17.799999999999997,11052.5,2917.5,6985.0,6694.5
Regina King,5.933333333333333,3,17.799999999999997,11052.5,2917.5,6985.0,6694.5
Dawid Ogrodnik,5.933333333333333,3,17.799999999999997,11052.5,2917.5,6985.0,6694.5
Janet Jackson,5.933333333333333,3,17.799999999999997,11052.5,2917.5,6985.0,6694.5
Gary Cooper,5.544444444444445,9,49.900000000000006,13426.0,560.5,6993.25,6699.0
Joanne Dru,5.544444444444444,9,49.9,13427.0,562.0,6994.5,6700.0
Michael Angarano,5.6499999999999995,6,33.9,12874.0,1142.5,7008.25,6702.5
Jennifer Jones,5.6499999999999995,6,33.9,12874.0,1142.5,7008.25,6702.5
Mandy Moore,5.6499999999999995,6,33.9,12874.0,1142.5,7008.25,6702.5
Michelle Rodriguez,5.6499999999999995,6,33.9,12874.0,1142.5,7008.25,6702.5
Paul Hubschmid,5.900000000000001,3,17.700000000000003,11093.0,2925.5,7009.25,6708.0
Irene Cara,5.900000000000001,3,17.700000000000003,11093.0,2925.5,7009.25,6708.0
Nina Ruslanova,5.900000000000001,3,17.700000000000003,11093.0,2925.5,7009.25,6708.0
Maura Tierney,5.900000000000001,3,17.700000000000003,11093.0,2925.5,7009.25,6708.0
Kal Penn,5.900000000000001,3,17.700000000000003,11093.0,2925.5,7009.25,6708.0
Kenneth Mars,5.900000000000001,3,17.700000000000003,11093.0,2925.5,7009.25,6708.0
Maria Bamford,5.900000000000001,3,17.700000000000003,11093.0,2925.5,7009.25,6708.0
Hailee Steinfeld,5.8,4,23.2,11982.5,2039.0,7010.75,6713.5
Leslie Howard,5.8,4,23.2,11982.5,2039.0,7010.75,6713.5
Valérie Lemercier,5.8,4,23.2,11982.5,2039.0,7010.75,6713.5
Ray Wise,5.8,4,23.2,11982.5,2039.0,7010.75,6713.5
Adrien Brody,5.511111111111111,9,49.6,13465.0,569.0,7017.0,6716.0
Karen Allen,5.5875,8,44.7,13328.0,713.5,7020.75,6717.0
Kevin James,5.6,7,39.199999999999996,13140.5,902.5,7021.5,6718.0
Yoshi Oida,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Giuseppe Sulfaro,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Raymond Jourdan,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Georgina Verbaan,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Iosif Ryklin,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Adam Taylor Gordon,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Renato Carpentieri,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Yoichi Hayashi,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Ingrid Olerinskaya,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Piotr Garlicki,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Jarkko Lahti,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Albert Salmi,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Wu Nien-Jen,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Hoselito Bite,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Zdenka Fantlova,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Maria João Bastos,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Robert Buchanan,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Adam Monty,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Zita Johann,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Peggy Lynch,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Rajkummar Rao,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Jaye Davidson,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Allene Roberts,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Yvonne Williams,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Glenn Gould,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Marcos Cabotá,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Glenda Pannell,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Germano Gilioli,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Marlon Moreno,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Валентина Владимирова,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Pino Colizzi,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Mariana Ximenes,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Marta Belenguer,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Polly Adams,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Haaz Sleiman,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Glori-Anne Gilbert,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Priscilla C. Shirer,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
H.R. Giger,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Élodie Fontan,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Helena Anýzová,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Marina Comas,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Holliday Grainger,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Hiroto Kato,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Giselda Volodi,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Rainer Voss,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Martin Held,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Maia Morgenstern,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Agnes Kittelsen,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Yoshiaki Yoza,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Pekka Ahonen,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Adam Ferency,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Alexandre Gontcharov ,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Poul Reumert,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Gurgon Kyap,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Yasmine Belmadi,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
George Harrison,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Alexandra Sorina,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Izabella Jo Tschig,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Alix de Konopka,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Guo Jinglin,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Preben Kristensen,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Ian McDiarmid,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Malgorzata Bela,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Jack Hedley,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Alla Demidova,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Malcolm Lunghi,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Reika Kirishima,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Marlee Matlin,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Pierre-Yves Cardinal,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Phyllis Brooks,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Yayoi Maki,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Alexandra Boyarskaya,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Marco D'Almeida,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
George Mallory,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Guilied Lopez,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Phyllida Law,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Xavier Lafitte,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Indrajith Sukumaran,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Aleksei Fomkin,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Gilda Gray,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Marion Darlington,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Hamid Aghazi,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Allie Mickelson,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Piotr Jagiello,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Alf Kjellin,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Gisela Uhlen,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Gábor Máté,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
René Dary,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Amy Carson,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Adrian Țofei,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Ioana Barbu,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Margaret Sheridan,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Gwyneth Cravens,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Patricia Owens,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Jang Dong-jik,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Manuel Barga,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Amanda Pilke,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Mark O'Halloran,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Mariam Bokeria,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Malorie Blackman,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Hang-Seon Jang,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Rio Kanno,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Marcelle Hainia,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Amaranta Abril,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Richard Donner,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Harrison Feldman,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Alexia Keogh,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Robert Hunter,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Gérard Blain,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Mario Maurer,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Pilou Asbæk,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Utpal Dutt,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Debargo Sanyal,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Samy Seghir,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Ben Forster,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Val Bettin,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Joshua Pak,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Arash Marandi,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Franjo Dijak,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
P.J. Harvey,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Denis Reichle,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Dennis Moore,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Shosuke Tanihara,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Neil deGrasse Tyson,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Franck Keïta,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Devin Ratray,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Oyafunmike Ogunlano,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Dharmendra,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Melike Güner,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Shin'ichirou Miki,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Diane Fleri,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Diane Torr,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Viola Valentino,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Joe Seneca,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Sandro Panseri,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Nick Cravat,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Barbara Luddy,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Deannie Yip,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Dolores Fonzi,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Anna Sinyakina,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Sivan Levy,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Sarah Horváth,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Ruth Chatterton,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Danny Kaye,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Tuğçe Kazaz,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Ludovic Berthillot,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Liu Dan,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Micaela Nevárez,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Julian Assange,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Antonin Artaud,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Jiiva,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Betsy Andreu,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Uhm Ki-Joon,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Emmanuelle Riva,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Song Ha-yoon,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Roma Gąsiorowska,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Lisa Smit,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Lea Michele,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
David Leestma,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Matthew Frias,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Fantine Harduin,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Lee Bo-young,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
David Quintero,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
David Scott,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
David Sullivan,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Juan Echanove,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Emily Hamilton,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Sheila Keith,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Megan Murphy,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Don Brodie,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Rosita Quintana,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Sebastian Villada,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Atom Egoyan,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Victor Robinson,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Masakazu Morita,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
John Kerr,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Nina Doroshina,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Victoria Davis,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Eduardo Antuña,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Nina Kervel-Bey,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Max Amann,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Maurizio Nichetti,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Maurizio Casagrande,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Viktor Kostetsky,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Feđa Štukan,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Linda Evans,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Ville Haapasalo,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Wendell Pierce,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
John Bolen,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Elena Ceausescu,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Linnea Cart-Lamy,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Noel Fisher,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Armando De Razza,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Elina Vaska,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Nonna Mordyukova,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
May Loo,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Elle Peterson,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Angélique Litzenburger,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Vicki Davis,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Francesca Marciano,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Baptiste Lecaplain,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Jerry Doyle,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Shayna Alexander,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Baltasar Kormákur,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Don Hunter,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Jerry Ferrara,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Jonathan Hyde,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Meg White,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Nicky Guadagni,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Elvira Mínguez,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Lionel Jeffries,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Fred Jaggi,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Ayoub Elasri,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Jon Chardiet,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Jon Bernthal,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Veronica Pivetti,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Shai Avivi,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Elsa Schulz Gambard,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Shadab Kamal,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Linus Torvalds,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Nicolette Krebitz,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Nicolás Treise,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Drake,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Elliot Cowan,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Vincent Warren,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Roscoe Collins,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Julie Kavner,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Danilo Grangheia,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Bill Robinson,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Jim Lampley,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Ryan Bradley,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Anders Ek,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Keith Cavill,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Buba Bayour,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Jeanne-Joséphine Lumière,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Tara Birtwhistle,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Tom Russell,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Bruno Putzulu,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Bruce Robinson,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Gary Bakewell,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Christina Aguilera,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Choi Min-soo,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Mateus Almada,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Roberta Wallach,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Katy Townsend,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Katja Danowski,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Brianna Hildebrand,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Kwak Ji-min,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Kwon Sang-Woo,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Søren Pilmark,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Lonnie Franklin Jr,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Jimmy Carr,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Winai Kraibutr,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Claire Bouanich,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Sydney Arnold,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Bruce Brown,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Clare Higgins,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Mira Grosin,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Chic Johnson,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Carolyn Craig,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Patricia Gozzi,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Kim Sang-Joong,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Tianna Sansbury,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Mika Berndtsdotter Ahlen,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Kim Deal,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Kim Woo-bin,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Kim Yu-seok,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Catherine Allégret,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Mike McCready,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Thierry Neuvic,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Cecilia Wallin,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Chitose Kobayashi,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Kevin Dillon,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Michiko Kuwano,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Ryan Sheckler,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Martin Shaw,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Terry Alexander,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Michelle Rhee,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Terence Donovan,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Charlie Plummer,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Charlie Ray,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Kenji Takano,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Charlotte Bøving,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Mathias Vergels,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Mimi Kozakura,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Teuda Bara,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Julie Mond,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Michael Shanks,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Claudio Colangelo,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Clark Terry,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
D.B. Woodside,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Trent Reznor,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Frédéric van den Driessche,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Myriem Roussel,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Bob Bergen,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Steve Cropper,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Daliah Lavi,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Waldemar Torenstra,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Anon2World,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Sally Yeh,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Lars Söderdahl,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Oleg Dal,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Justin Henry,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Justin Fletcher,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Masti Ali,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Troy Duffy,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Eric Lin Hui-Ming,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Daniel Giménez Cacho,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Billie Mae Richards,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Samantha Castillo,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Julie Zangenberg,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Fabio Goulart,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Freda Dowie,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Roger Monk,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Bobby Fischer,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Mya Taylor,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Curt Goetz,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Kate Fleetwood,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Momoko Kôchi,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Michael Pas,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Willy Vandermeulen,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
Lachlan Nieboer,6.9,1,6.9,4243.0,9803.0,7023.0,6889.5
